actual_presentation_time,ave_rr,block,block_condition,cardiac_delay_ms,cardiac_phase,choice,choice_time,chosen_symbol,date_time,delay,feedback,intended_presentation_time,is_reversed,outcome_onset_time,participant,percentage_rr,post_choice_fixation_time,reversal_point,rt,run,session,symbol_positions,symbols_onset_time,timing_precision_ms,trial,trial_end_time,trial_start_time,valid_rpeak_time
4636.0243397,0.8720498599999701,0,early,436.02492999998503,diastole,0.0,4633.7400539,B,20250114-130445,,loss,4636.02000373,False,4636.0243397,Harry,0.5,4633.7478731,19,0.7604414999996152,1,001,BA,4632.9796124,4.335970000283851,0,4640.0247598,4631.8123357,4635.5839788
4644.0925047,0.8928841199998715,0,early,446.44205999993574,diastole,1.0,4642.432621,A,20250114-130445,,win,4644.08896856,False,4644.0925047,Harry,0.5,4642.4388347,19,0.9315783000001829,1,001,BA,4641.5010427,3.5361400005058385,1,4648.0926547,4640.0259216,4643.6425265
4652.3300701,0.8074861999999484,0,early,403.7430999999742,diastole,1.0,4650.2459649,B,20250114-130445,,loss,4652.326676899999,False,4652.3300701,Harry,0.5,4650.2523725,19,1.1064052000001539,1,001,AB,4649.1395597,3.3932000005734153,2,4656.3300751,4648.0935241,4651.9229338
4659.5845196,0.8950199400000202,0,early,447.50997000001007,diastole,1.0,4658.0395279,A,20250114-130445,,win,4659.58044247,False,4659.5845196,Harry,0.5,4658.0471925,19,0.6155406000007133,1,001,BA,4657.4239873,4.077130000041507,3,4663.5839234,4656.3307325,4659.1329325
4667.8697805,0.9303896400000667,0,early,465.19482000003336,diastole,0.0,4665.512381,A,20250114-130445,,win,4667.86626152,False,4667.8697805,Harry,0.5,4665.5207553,19,0.4362766999993255,1,001,AB,4665.0761043,3.5189800000807736,4,4671.8705854,4663.5847783,4667.4010667
4675.4236004,0.9512582600000314,0,early,475.6291300000157,diastole,1.0,4673.6449752,A,20250114-130445,,win,4675.42073543,False,4675.4236004,Harry,0.5,4673.6503138,19,0.47985739999967336,1,001,BA,4673.1651178,2.8649700007008505,5,4679.4238763,4671.8714749,4674.9451063
4682.7157951,0.9113064600000144,0,early,455.65323000000717,diastole,1.0,4681.0182358,A,20250114-130445,,loss,4682.71313973,False,4682.7157951,Harry,0.5,4681.022574,19,0.4560741000004782,1,001,BA,4680.5621617,2.655369999956747,6,4686.715181,4679.4245404,4682.2574865
4690.2634836,0.9479009599999699,0,early,473.95047999998496,diastole,0.0,4688.2925527,A,20250114-130445,,loss,4690.26065508,False,4690.2634836,Harry,0.5,4688.2992688,19,0.48560099999940576,1,001,AB,4687.8069517,2.8285199996389565,7,4694.2629011,4686.7160962,4689.7867046
4697.6753837,0.932347960000152,0,early,466.17398000007597,diastole,0.0,4696.0657804,A,20250114-130445,,loss,4697.67264348,False,4697.6753837,Harry,0.5,4696.0735627,19,0.7717842000001838,1,001,AB,4695.2939962,2.7402199993957765,8,4701.6752981,4694.2641599,4697.2064695
4705.184535,0.9396474400000443,0,early,469.82372000002215,diastole,1.0,4703.6694461,A,20250114-130445,,win,4705.18080072,False,4705.184535,Harry,0.5,4703.677107,19,0.5150255999997171,1,001,BA,4703.1544205,3.7342800005717436,9,4709.1856092,4701.6763584,4704.710977
4712.703702,0.9408127599999716,0,early,470.4063799999858,diastole,1.0,4711.1827035,A,20250114-130445,,loss,4712.69957148,False,4712.703702,Harry,0.5,4711.1895589,19,0.6000177999994776,1,001,BA,4710.5826857,4.130520000217075,10,4716.7036244,4709.1867807,4712.2291651
4720.2026981,0.9392498600000181,0,early,469.62493000000904,diastole,0.0,4718.4167801,A,20250114-130445,,loss,4720.19867813,False,4720.2026981,Harry,0.5,4718.4249868,19,0.6527472000007037,1,001,AB,4717.7640329,4.019969999717432,11,4724.2032185,4716.7044864,4719.7290532
4727.6024023,0.9337202999999136,0,early,466.8601499999568,diastole,1.0,4726.009317,B,20250114-130445,,loss,4727.598848449999,False,4727.6024023,Harry,0.5,4726.0181239,19,0.4377959000003102,1,001,AB,4725.5715211,3.5538500005714013,12,4731.6023792,4724.204213,4727.1319883
4735.6299434,0.8889693599998282,0,early,444.4846799999141,diastole,1.0,4733.682887,B,20250114-130445,,loss,4735.627287679999,False,4735.6299434,Harry,0.5,4733.6905989,19,0.6099791999995432,1,001,AB,4733.0729078,2.6557200008028303,13,4739.6297129,4731.6034092,4735.182803
4742.8714027,0.9111177599999791,0,early,455.5588799999896,diastole,0.0,4741.3869324,A,20250114-130445,,win,4742.86791628,False,4742.8714027,Harry,0.5,4741.393902,19,0.578241799999887,1,001,AB,4740.8086906,3.4864199997173273,14,4746.8709643,4739.630782,4742.4123574
4750.75341,0.8858598000000711,0,early,442.92990000003556,diastole,1.0,4748.780276,A,20250114-130445,,loss,4750.750510100001,False,4750.75341,Harry,0.5,4748.78727,19,0.4770689000006314,1,001,BA,4748.3032071,2.8998999996474595,15,4754.7536542,4746.8717999,4750.3075802
4758.3348262,0.9916041200000109,0,early,495.80206000000544,diastole,0.0,4756.6424939,A,20250114-130445,,win,4758.331221959999,False,4758.3348262,Harry,0.5,4756.6502101,19,0.5043785999996544,1,001,AB,4756.1381153,3.604240000640857,16,4762.3358615,4754.7545588,4757.8354199
4766.0017129,0.8348808599999756,0,early,417.4404299999878,diastole,1.0,4764.0260928,A,20250114-130445,,win,4765.99800893,False,4766.0017129,Harry,0.5,4764.0330906,19,0.397857699999804,1,001,BA,4763.6282351,3.703970000060508,17,4770.0015958,4762.3368897,4765.5805685
